axis_a,axis_b,original_classification,original_direction,original_summary,relay_T_candidates,a_to_b_n_lit_entries,a_to_b_T_list,a_to_b_summary,a_to_b_n_primary,a_to_b_n_secondary,a_to_b_citations_primary,a_to_b_citations_secondary,b_to_a_n_lit_entries,b_to_a_T_list,b_to_a_summary,b_to_a_n_primary,b_to_a_n_secondary,b_to_a_citations_primary,b_to_a_citations_secondary
IL-27,IL-35,KNOWN_COREGULATED,coregulated_other,"IL-35 and IL-27 are both heterodimeric IL-12-family cytokines sharing the Ebi3 subunit; both function as negative regulators with overlapping receptor usage (gp130/IL-12Rb2/WSX-1), but A→B direction (IL-35 inducing IL-27) is not explicitly documented.","CD4 Naive:1, MAIT:1, CD8 Naive:1",0,,,0,0,,,1,CD8 Naive,"// T=CD8 Naive: IL-35 and IL-27 are both heterodimeric IL-12-family cytokines sharing the Ebi3 subunit; both function as negative regulators with overlapping receptor usage (gp130/IL-12Rb2/WSX-1), but A→B direction (IL-35 inducing IL-27) is not explicitly documented.",2,0,Interleukin-35 on B cell and T cell induction and regulation — https://pmc.ncbi.nlm.nih.gov/articles/PMC5547520/ ||| IL-12 family cytokines: immunological playmakers (Nature Immunology) — https://www.nature.com/articles/ni.2366,
IL-27,IL-36-alpha,NOVEL,no_lit,Both IL-27 and IL-36α act on CD4+ T cells independently (IL-27 inhibits Th17/induces IL-10; IL-36α drives colitogenic Th cells) but no published evidence shows IL-27 induces IL-36α expression.,"HSPC:2, CD14 Mono:1, CD4 Naive:1",1,CD4 Naive,// T=CD4 Naive: Both IL-27 and IL-36α act on CD4+ T cells independently (IL-27 inhibits Th17/induces IL-10; IL-36α drives colitogenic Th cells) but no published evidence shows IL-27 induces IL-36α expression.,0,2,,Interleukin-27 in T Cell Immunity — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346869/ ||| IL-36 cytokines imprint a colitogenic phenotype on CD4+ T helper cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9038530/,0,,,0,0,,
IL-27,IL-6,KNOWN_DIRECTIONAL,a_to_b,"IL-27 has been shown to augment TNF-alpha-induced IL-6 production in epithelial cells; the IL-6/IL-27 axis is well-documented bidirectional within the gp130 cytokine family, with both directions reported.","CD14 Mono:2, CD16 Mono:1, CD8 Memory:1",1,CD4 Naive,"// T=CD4 Naive: IL-27 has been shown to augment TNF-alpha-induced IL-6 production in epithelial cells; the IL-6/IL-27 axis is well-documented bidirectional within the gp130 cytokine family, with both directions reported.",1,1,Early IL-6 signalling promotes IL-27 dependent maturation of regulatory T cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC5633202/,Regulation of inflammatory immune responses by IL-27 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3332455/,0,,,0,0,,
IL-27,IL-9,KNOWN_COREGULATED,b_to_a,"Direction is reversed: IL-27 is a well-documented SUPPRESSOR of Th9 differentiation and IL-9 production in naive CD4+ T cells, partially via STAT1/T-bet.","ILC:1, Plasmablast:1, Treg:1",1,CD4 Naive,"// T=CD4 Naive: Direction is reversed: IL-27 is a well-documented SUPPRESSOR of Th9 differentiation and IL-9 production in naive CD4+ T cells, partially via STAT1/T-bet.",0,2,,IL-27 inhibits Th9 differentiation while inducing Tr1 cells - https://www.researchgate.net/figure/L-27-inhibits-Th9-differentiation-while-inducing-Tr1-cells-Real-time-PCR-and-flow_fig7_232813959 ||| Updated advancement of bifunctional IL-27 in inflammatory autoimmune diseases - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1366377/full,0,,,0,0,,
IL-27,VEGF,KNOWN_COREGULATED,b_to_a,The direction is reversed in the literature: IL-27 INHIBITS VEGF expression via STAT1 signaling and has documented anti-angiogenic properties. Both molecules are in the same axis (inflammation-angiogenesis) but A→B induction is not supported; the inverse is documented.,"MAIT:1, CD8 Naive:1, NK CD56bright:1",1,CD4 Naive,// T=CD4 Naive: The direction is reversed in the literature: IL-27 INHIBITS VEGF expression via STAT1 signaling and has documented anti-angiogenic properties. Both molecules are in the same axis (inflammation-angiogenesis) but A→B induction is not supported; the inverse is documented.,0,1,,IL-27 inhibits epithelial-mesenchymal transition and angiogenic factor production in a STAT1-dominant pathway in human non-small cell lung cancer — https://jeccr.biomedcentral.com/articles/10.1186/1756-9966-32-97,0,,,0,0,,
IL-35,VEGF,KNOWN_DIRECTIONAL,a_to_b,"Tumor-derived IL-35 promotes VEGF secretion and angiogenesis via STAT3 activation in myeloid cells (CD11b+Gr1+, neutrophils). Context-dependent: pro-angiogenic in tumors, anti-VEGF in rheumatoid arthritis.","MAIT:1, NKT:1, CD14 Mono:1",1,MAIT,"// T=MAIT: Tumor-derived IL-35 promotes VEGF secretion and angiogenesis via STAT3 activation in myeloid cells (CD11b+Gr1+, neutrophils). Context-dependent: pro-angiogenic in tumors, anti-VEGF in rheumatoid arthritis.",3,0,Tumor-derived IL-35 promotes tumor growth by enhancing myeloid cell accumulation and angiogenesis - https://pmc.ncbi.nlm.nih.gov/articles/PMC3578001/ ||| IL-35 enhances angiogenic effects of small extracellular vesicles in breast cancer - https://pubmed.ncbi.nlm.nih.gov/35037402/ ||| Mathematical modeling of IL-35 promoting tumor growth and angiogenesis - https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0110126,,0,,,0,0,,
IL-36-alpha,IL-6,KNOWN_COREGULATED,b_to_a,"The documented direction is reverse: IL-36-alpha induces IL-6 (in fibroblasts and synovial cells, via MyD88/NF-kB). IL-6 inducing IL-36-alpha is not the documented cascade.","CD14 Mono:1, CD4 Naive:1, pDC:1",0,,,0,0,,,1,CD4 Naive,"// T=CD4 Naive: The documented direction is reverse: IL-36-alpha induces IL-6 (in fibroblasts and synovial cells, via MyD88/NF-kB). IL-6 inducing IL-36-alpha is not the documented cascade.",0,2,,IL-36a and IL-36g Induce Proinflammatory Mediators from Human Colonic Subepithelial Myofibroblasts — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4585048/ ||| IL-36a Exerts Pro-Inflammatory Effects in the Lungs of Mice — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3447790/
IL-36-alpha,IL-9,KNOWN_COREGULATED,b_to_a,"Direction is reversed in literature: IL-36 signaling (via IL-36R/MyD88/NF-kB) drives Th9 differentiation and IL-9 production in CD4+ T cells, not the other way around.","CD4 Naive:2, HSPC:2",0,,,0,0,,,1,CD4 Naive,"// T=CD4 Naive: Direction is reversed in literature: IL-36 signaling (via IL-36R/MyD88/NF-kB) drives Th9 differentiation and IL-9 production in CD4+ T cells, not the other way around.",2,0,IL-36gamma signaling controls iTreg-Th9 balance - https://www.nature.com/articles/mi201721 ||| IL-36 cytokines imprint a colitogenic phenotype on CD4+ T helper cells - https://pmc.ncbi.nlm.nih.gov/articles/PMC9038530/,
IL-36-alpha,TL1A,NOVEL,no_lit,TL1A is induced by IL-1β/TNFα and synergizes with IL-12/IL-18 for NK IFN-γ/cytotoxicity. IL-36α drives Th1 polarization but no published evidence IL-36α induces TL1A in NK CD56bright cells.,"CD14 Mono:2, CD8 Naive:2, NK CD56bright:1",1,NK CD56bright,// T=NK CD56bright: TL1A is induced by IL-1β/TNFα and synergizes with IL-12/IL-18 for NK IFN-γ/cytotoxicity. IL-36α drives Th1 polarization but no published evidence IL-36α induces TL1A in NK CD56bright cells.,2,0,TL1A selectively enhances IL-12/IL-18-induced NK cell cytotoxicity — https://pubmed.ncbi.nlm.nih.gov/20349123/ ||| IL-36 signaling amplifies Th1 responses — https://ashpublications.org/blood/article/120/17/3478/30630/IL-36-signaling-amplifies-Th1-responses-by,,0,,,0,0,,
IL-36-alpha,VEGF,KNOWN_DIRECTIONAL,a_to_b,IL-36α (50 ng/ml) significantly increases endothelial tube formation in a VEGF-dependent manner; IL-36 family upregulates VEGFs and VEGFR2/3 in monocyte-rich inflammatory milieus (psoriasis).,"CD14 Mono:2, MAIT:1, NK CD56bright:1",1,CD14 Mono,// T=CD14 Mono: IL-36α (50 ng/ml) significantly increases endothelial tube formation in a VEGF-dependent manner; IL-36 family upregulates VEGFs and VEGFR2/3 in monocyte-rich inflammatory milieus (psoriasis).,2,1,IL-36γ Is a Strong Inducer of IL-23 in Psoriatic Cells and Activates Angiogenesis — https://pmc.ncbi.nlm.nih.gov/articles/PMC5834930/ ||| IL-36γ Augments Ocular Angiogenesis by Promoting the VEGF–VEGFR Axis — https://pmc.ncbi.nlm.nih.gov/articles/PMC10616713/,IL-1 Family Cytokine Regulation of Vascular Permeability and Angiogenesis — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.01426/full,0,,,0,0,,
IL-6,TNF-alpha,PRE_REGISTERED,b_to_a,Pre-registered KNOWN_CASCADE.,"CD4 Naive:1, NKT:1, CD14 Mono:1",0,,,0,0,,,0,,,0,0,,
IL-6,VEGF,KNOWN_DIRECTIONAL,a_to_b,"IL-6 is a well-established inducer of VEGF expression via trans-signaling and STAT3 activation, both directly and synergistically with IL-1B and TNF.","MAIT:1, CD14 Mono:1",1,CD4 Naive,"// T=CD4 Naive: IL-6 is a well-established inducer of VEGF expression via trans-signaling and STAT3 activation, both directly and synergistically with IL-1B and TNF.",1,2,Interleukin 6 induces the expression of vascular endothelial growth factor — https://pubmed.ncbi.nlm.nih.gov/8557680/,"IL-6 in Inflammation, Immunity, and Disease — https://cshperspectives.cshlp.org/content/6/10/a016295.full ||| IL-6 induces VEGF-C via Src-FAK-STAT3 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934912/",0,,,0,0,,
IL-9,TNF-alpha,KNOWN_DIRECTIONAL,a_to_b,TNF-alpha potently promotes Th9 cell differentiation and IL-9 production through TNFR2-dependent pathways. iTregs and Foxp3+ regulatory T cells are among the cell populations producing IL-9 downstream of TNF-alpha signaling.,"Treg:2, CD4 Naive:1",0,,,0,0,,,1,Treg,// T=Treg: TNF-alpha potently promotes Th9 cell differentiation and IL-9 production through TNFR2-dependent pathways. iTregs and Foxp3+ regulatory T cells are among the cell populations producing IL-9 downstream of TNF-alpha signaling.,0,2,,TNF-α enhances Th9 cell differentiation and antitumor immunity via TNFR2-dependent pathways — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360681/ ||| Transcription factor Foxo1 is essential for IL-9 induction in T helper cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634439/
IL-9,VEGF,KNOWN_COREGULATED,b_to_a,The documented direction is the reverse: IL-9 induces VEGF secretion from mast cells (PLOS One 2012). No evidence VEGF induces IL-9 in monocytes; reverse direction is published.,"Treg:2, MAIT:1, CD14 Mono:1",0,,,0,0,,,1,CD14 Mono,// T=CD14 Mono: The documented direction is the reverse: IL-9 induces VEGF secretion from mast cells (PLOS One 2012). No evidence VEGF induces IL-9 in monocytes; reverse direction is published.,1,0,IL-9 Induces VEGF Secretion from Human Mast Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3297631/,
